iter	RMSE
0	1618.606012
1	1539.1013
2	1468.552758
3	1407.746423
4	1356.430593
5	1311.725062
6	1276.86244
7	1244.814014
8	1217.972711
9	1195.811319
10	1176.564927
11	1159.755909
12	1146.873719
13	1135.828759
14	1126.378398
15	1118.921294
16	1112.921229
17	1106.374268
18	1101.065047
19	1096.142134
20	1092.130642
21	1088.135623
22	1085.185474
23	1082.866841
24	1081.268878
25	1078.893497
26	1077.289244
27	1075.538457
28	1073.853195
29	1072.60196
30	1071.731938
31	1070.572401
32	1069.625472
33	1068.709718
34	1067.572152
35	1066.766443
36	1066.414446
37	1065.608031
38	1064.626273
39	1063.560705
40	1063.028832
41	1062.63128
42	1062.20129
43	1061.656024
44	1060.762636
45	1060.281102
46	1059.652385
47	1058.921309
48	1057.960916
49	1057.551155
50	1056.603377
51	1056.137192
52	1055.148381
53	1053.829515
54	1053.373453
55	1051.595245
56	1051.205799
57	1050.865303
58	1049.828511
59	1049.595625
60	1049.274244
61	1048.398665
62	1047.356862
63	1046.800481
64	1046.032609
65	1045.59073
66	1045.222527
67	1044.432812
68	1043.055313
69	1042.548505
70	1041.120369
71	1040.486074
72	1039.79227
73	1038.678446
74	1037.779503
75	1037.578414
76	1036.69236
77	1035.872868
78	1035.397118
79	1035.01698
80	1034.484468
81	1033.652613
82	1032.744924
83	1032.229515
84	1031.90379
85	1031.680099
86	1031.189287
87	1030.469548
88	1029.6656
89	1029.33822
90	1028.916436
91	1028.568736
92	1028.222917
93	1027.557357
94	1026.827091
95	1026.483743
96	1025.860797
97	1024.771064
98	1023.843327
99	1023.056596
