iter	Passed	Remaining
0	173	17218
1	179	8787
2	181	5880
3	185	4453
4	187	3562
5	191	3003
6	195	2598
7	197	2274
8	199	2017
9	201	1810
10	202	1640
11	205	1506
12	208	1392
13	210	1292
14	211	1200
15	213	1120
16	214	1048
17	216	985
18	217	928
19	220	880
20	221	833
21	223	791
22	224	753
23	226	717
24	227	683
25	229	654
26	231	625
27	233	599
28	236	577
29	237	555
30	239	533
31	241	512
32	242	493
33	244	474
34	245	456
35	247	439
36	249	424
37	251	411
38	253	396
39	254	382
40	257	369
41	258	357
42	260	345
43	261	333
44	263	322
45	266	312
46	268	302
47	270	293
48	272	283
49	273	273
50	275	265
51	277	256
52	279	247
53	282	240
54	284	232
55	286	224
56	287	216
57	289	209
58	291	202
59	292	195
60	294	188
61	297	182
62	299	175
63	300	169
64	302	162
65	304	156
66	305	150
67	307	144
68	309	138
69	310	133
70	313	128
71	315	122
72	317	117
73	319	112
74	321	107
75	323	102
76	325	97
77	328	92
78	331	88
79	333	83
80	335	78
81	337	74
82	339	69
83	341	65
84	343	60
85	346	56
86	348	52
87	350	47
88	352	43
89	354	39
90	356	35
91	358	31
92	359	27
93	362	23
94	364	19
95	365	15
96	367	11
97	369	7
98	370	3
99	372	0
